name,scenario form,type
Arcade bar,an arcade bar,GAMING
Art Museums,an art museum,ARTS AND CULTURE
Attending Book Signing,a book signing,LITERATURE
Attending Neighborhood Parade,a neighborhood parade,COMMUNITY EVENTS
Biking,go on a bike ride,SPORT/EXERCISE
Board Games,play board games,GAMING
Book Club,a book club,LITERATURE
Bouldering,go bouldering,SPORT/EXERCISE
Bowling,go bowling,SPORT/EXERCISE
Chess,play chess,GAMING
City tour ,a city tour,HISTORY AND LEARNING
Collaging,a collaging circle,CRAFTING
Comedy Clubs,a comedy club,ARTS AND CULTURE
Concert,a concert,ARTS AND CULTURE
Exploring a Nearby Town,explore a nearby town,TRAVEL
Exploring breweries,explore breweries,FOOD AND DRINK
Gardening,go gardening,OUTDOORS
Getting coffee,get coffee,FOOD AND DRINK
Going to the beach,go to the beach,OUTDOORS
Hiking,go on a hike,SPORT/EXERCISE
History Museums,a history museum,HISTORY AND LEARNING
Jazz Concerts,go to a jazz concert,ARTS AND CULTURE
Jigsaw Puzzles,do a jigsaw puzzle,GAMING
Knitting,a knitting circle,CRAFTING
Live ameatur sporting event,an ameatur sporting event,SPORT/EXERCISE
Picnic,go on a picnic,OUTDOORS
Playing baseball/softball,play softball/baseball,SPORT/EXERCISE
Playing basketball,play basketball,SPORT/EXERCISE
Playing Soccer,play soccer,SPORT/EXERCISE
Playing Tennis,play tennis,SPORT/EXERCISE
Playing volleyball,play vollyball,SPORT/EXERCISE
Poetry Writing,attend a poetry workshop,LITERATURE
Professional Sporting Events,a professional sporting event,SPORT/EXERCISE
Quilting,a quilting circle,CRAFTING
Role Playing Video Games,play a role-playing video game,GAMING
Rollerskating,go rollerskating,SPORT/EXERCISE
Running (club),a running club,SPORT/EXERCISE
Skateboarding,go skateboarding,SPORT/EXERCISE
Swimming,go swimming,SPORT/EXERCISE
Taking Cooking Classes,take a cooking class,COOKING/BAKING
Trying New Restaurants,try a new restaurant,COOKING/BAKING
Volunteer Work,volunteer,COMMUNITY EVENTS
Volunteering at an animal shelter,volunteer at an animal shelter,COMMUNITY EVENTS
Walking (club),a walking club,SPORT/EXERCISE
Watching Ballet,see a ballet performance,ARTS AND CULTURE
Watching Musicals,see a musical,ARTS AND CULTURE
Watching Opera,see an opera performance,ARTS AND CULTURE
Watching Plays,see a play,ARTS AND CULTURE
